Total,State,Year
422372,West Virginia,1959
75145,West Virginia,1959
670812,West Virginia,1959
6537795,West Virginia,1959
9393360,West Virginia,1959
954300,West Virginia,1959
16680806,West Virginia,1959
9347547,West Virginia,1959
,West Virginia,1959
496934,West Virginia,1959
13522354,West Virginia,1959
799189,West Virginia,1959
48853,West Virginia,1959
6555801,West Virginia,1959
7276577,West Virginia,1959
4801953,West Virginia,1959
,West Virginia,1959
451539,West Virginia,1959
2307605,West Virginia,1959
66455,West Virginia,1959
6518471,West Virginia,1959
913825,West Virginia,1959
75307,West Virginia,1959
145861,West Virginia,1959
1083175,West Virginia,1959
72860,West Virginia,1959
430899,West Virginia,1959
10886119,West Virginia,1959
4440672,West Virginia,1959
,West Virginia,1959
,West Virginia,1959
1493535,Kentucky,1960
26001,Kentucky,1960
553681,Kentucky,1960
18600,Kentucky,1960
1284121,Kentucky,1960
38432,Kentucky,1960
16987,Kentucky,1960
4278155,Kentucky,1960
6235601,Kentucky,1960
125726,Kentucky,1960
257535,Kentucky,1960
1352392,Kentucky,1960
242939,Kentucky,1960
110074,Kentucky,1960
44808,Kentucky,1960
54340,Kentucky,1960
2290791,Kentucky,1960
4244832,Kentucky,1960
517126,Kentucky,1960
73174,Kentucky,1960
35053,Kentucky,1960
1300,Kentucky,1960
37692,Kentucky,1960
126550,Kentucky,1960
4441099,Kentucky,1960
7619486,Kentucky,1960
153704,Kentucky,1960
38588,Kentucky,1960
9057,Kentucky,1960
523380,Kentucky,1960
15125,Kentucky,1960
,Kentucky,1960
213552,Kentucky,1960
45885,Kentucky,1960
70348,Kentucky,1960
967707,Kentucky,1960
118311,Kentucky,1960
301209,Kentucky,1960
11818541,Kentucky,1960
58000,Kentucky,1960
9918659,Kentucky,1960
3239246,Kentucky,1960
2832776,Kentucky,1960
1002374,Kentucky,1960
,Kentucky,1960
,Kentucky,1960
1613244,Tennessee,1960
2268,Tennessee,1960
643181,Tennessee,1960
246083,Tennessee,1960
84400,Tennessee,1960
104384,Tennessee,1960
167859,Tennessee,1960
37062,Tennessee,1960
816768,Tennessee,1960
479764,Tennessee,1960
118278,Tennessee,1960
391986,Tennessee,1960
80278,Tennessee,1960
554076,Tennessee,1960
505528,Tennessee,1960
62491,Tennessee,1960
1800,Tennessee,1960
,Tennessee,1960
,Tennessee,1960
10568033,Virginia,1960
7120217,Virginia,1960
616003,Virginia,1960
8474,Virginia,1960
2284452,Virginia,1960
16199,Virginia,1960
1750992,Virginia,1960
5473525,Virginia,1960
,Virginia,1960
3279945,West Virginia,1960
6151942,West Virginia,1960
235138,West Virginia,1960
540508,West Virginia,1960
,West Virginia,1960
4642027,West Virginia,1960
956603,West Virginia,1960
,West Virginia,1960
851511,West Virginia,1960
1200,West Virginia,1960
6296245,West Virginia,1960
9378163,West Virginia,1960
604477,West Virginia,1960
24626,West Virginia,1960
16378371,West Virginia,1960
9020356,West Virginia,1960
,West Virginia,1960
440064,West Virginia,1960
13318298,West Virginia,1960
642259,West Virginia,1960
81277,West Virginia,1960
5802873,West Virginia,1960
6900778,West Virginia,1960
4929411,West Virginia,1960
,West Virginia,1960
375560,West Virginia,1960
2729469,West Virginia,1960
65600,West Virginia,1960
6631098,West Virginia,1960
1213049,West Virginia,1960
138412,West Virginia,1960
259199,West Virginia,1960
1093461,West Virginia,1960
48983,West Virginia,1960
518280,West Virginia,1960
10683872,West Virginia,1960
,West Virginia,1960
,West Virginia,1960
1743406,Kentucky,1961
89708,Kentucky,1961
555630,Kentucky,1961
14360,Kentucky,1961
1372704,Kentucky,1961
20362,Kentucky,1961
15157,Kentucky,1961
3762858,Kentucky,1961
3016,Kentucky,1961
3739809,Kentucky,1961
69111,Kentucky,1961
183742,Kentucky,1961
2072206,Kentucky,1961
256047,Kentucky,1961
31516,Kentucky,1961
7253,Kentucky,1961
43385,Kentucky,1961
1679676,Kentucky,1961
4454549,Kentucky,1961
474592,Kentucky,1961
64193,Kentucky,1961
19156,Kentucky,1961
44830,Kentucky,1961
100000,Kentucky,1961
3424582,Kentucky,1961
7462493,Kentucky,1961
128643,Kentucky,1961
15452,Kentucky,1961
1748,Kentucky,1961
559338,Kentucky,1961
10429,Kentucky,1961
246271,Kentucky,1961
85605,Kentucky,1961
1018508,Kentucky,1961
2240,Kentucky,1961
250368,Kentucky,1961
10497856,Kentucky,1961
,Kentucky,1961
11647036,Kentucky,1961
3136378,Kentucky,1961
1073598,Kentucky,1961
,Kentucky,1961
2653932,Kentucky,1961
1447461,Tennessee,1961
1086875,Tennessee,1961
319629,Tennessee,1961
75132,Tennessee,1961
326496,Tennessee,1961
81662,Tennessee,1961
467665,Tennessee,1961
26606,Tennessee,1961
27548,Tennessee,1961
184998,Tennessee,1961
680422,Tennessee,1961
438515,Tennessee,1961
150186,Tennessee,1961
,Tennessee,1961
,Tennessee,1961
490700,Tennessee,1961
10949046,Virginia,1961
8438428,Virginia,1961
452944,Virginia,1961
12060,Virginia,1961
1934611,Virginia,1961
17492,Virginia,1961
933110,Virginia,1961
7594604,Virginia,1961
,Virginia,1961
,Virginia,1961
5196395,West Virginia,1961
33250,West Virginia,1961
14246989,West Virginia,1961
12919266,West Virginia,1961
5038115,West Virginia,1961
54027,West Virginia,1961
10354286,West Virginia,1961
3061807,West Virginia,1961
,West Virginia,1961
522890,West Virginia,1961
,West Virginia,1961
4421859,West Virginia,1961
,West Virginia,1961
65577,West Virginia,1961
896482,West Virginia,1961
6390918,West Virginia,1961
9141115,West Virginia,1961
,West Virginia,1961
447037,West Virginia,1961
847437,West Virginia,1961
,West Virginia,1961
5981919,West Virginia,1961
4922350,West Virginia,1961
239044,West Virginia,1961
2588762,West Virginia,1961
81227,West Virginia,1961
6597329,West Virginia,1961
1146093,West Virginia,1961
200870,West Virginia,1961
1177704,West Virginia,1961
820344,West Virginia,1961
15677356,West Virginia,1961
,West Virginia,1961
,West Virginia,1961
1848368,Kentucky,1962
56149,Kentucky,1962
602521,Kentucky,1962
24432,Kentucky,1962
1065391,Kentucky,1962
5301,Kentucky,1962
15989,Kentucky,1962
3746688,Kentucky,1962
5528165,Kentucky,1962
27369,Kentucky,1962
179992,Kentucky,1962
1968636,Kentucky,1962
279893,Kentucky,1962
107286,Kentucky,1962
16793,Kentucky,1962
49889,Kentucky,1962
1805170,Kentucky,1962
5064122,Kentucky,1962
360322,Kentucky,1962
44419,Kentucky,1962
68550,Kentucky,1962
39611,Kentucky,1962
2400,Kentucky,1962
3474150,Kentucky,1962
9946417,Kentucky,1962
88300,Kentucky,1962
10000,Kentucky,1962
1800,Kentucky,1962
718471,Kentucky,1962
10548,Kentucky,1962
183547,Kentucky,1962
69799,Kentucky,1962
1062050,Kentucky,1962
1600,Kentucky,1962
3205,Kentucky,1962
278109,Kentucky,1962
10330308,Kentucky,1962
73638,Kentucky,1962
13646757,Kentucky,1962
3238664,Kentucky,1962
2563902,Kentucky,1962
603298,Kentucky,1962
1589141,Tennessee,1962
20894,Tennessee,1962
1336977,Tennessee,1962
380737,Tennessee,1962
34564,Tennessee,1962
92024,Tennessee,1962
192162,Tennessee,1962
31778,Tennessee,1962
642831,Tennessee,1962
317991,Tennessee,1962
74942,Tennessee,1962
4000,Tennessee,1962
485318,Tennessee,1962
27656,Tennessee,1962
484490,Tennessee,1962
288793,Tennessee,1962
209313,Tennessee,1962
11996910,Virginia,1962
8356129,Virginia,1962
453182,Virginia,1962
11008,Virginia,1962
2023524,Virginia,1962
12244,Virginia,1962
460182,Virginia,1962
6161144,Virginia,1962
,Virginia,1962
,Virginia,1962
3054191,West Virginia,1962
5934131,West Virginia,1962
734010,West Virginia,1962
826835,West Virginia,1962
4795493,West Virginia,1962
1025330,West Virginia,1962
453810,West Virginia,1962
6472457,West Virginia,1962
10583494,West Virginia,1962
295534,West Virginia,1962
32900,West Virginia,1962
15527307,West Virginia,1962
9150355,West Virginia,1962
454157,West Virginia,1962
13762179,West Virginia,1962
959453,West Virginia,1962
5432292,West Virginia,1962
5820182,West Virginia,1962
5767764,West Virginia,1962
385553,West Virginia,1962
2998435,West Virginia,1962
74731,West Virginia,1962
6320635,West Virginia,1962
719614,West Virginia,1962
449588,West Virginia,1962
1175875,West Virginia,1962
62153,West Virginia,1962
772192,West Virginia,1962
10234279,West Virginia,1962
,West Virginia,1962
,West Virginia,1962
4224138,West Virginia,1962
